symbol,visual_qa_status,note
sATypeMove_Table[0],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[1],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[2],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[3],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[4],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[5],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[6],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[7],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[8],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[9],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[10],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[11],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[12],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[13],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[14],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[15],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[16],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
sATypeMove_Table[17],proof_passed,"Batch 58 QA Gallery reviewed: 18/18 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
